Source,Area_or_Site,lat,lon,Elevation_m,FieldID,Abundance,Height_m,CanopyHeight_m,pictures,note,AI_ID,FinalID,Genus,species,datetime,Identification,Confidence
Field Observations,Maquipucuna,0.119618,-78.632612,1351.0,NA,1,5.1,16.8,178,foto 178,NA,Maxillaria acutifolia,NA,NA,NA,Maxillaria acutifolia,High - expert-identified photo match
Field Observations,Maquipucuna,0.119618,-78.632612,1351.0,NA,1,5.4,16.8,179,foto 179,NA,Maxillaria acutifolia,NA,NA,NA,Maxillaria acutifolia,High - expert-identified photo match
Field Observations,Maquipucuna,0.119618,-78.632612,1351.0,NA,1,7.9,16.8,177,foto 177,NA,Xylobium leontoglossum,NA,NA,NA,Xylobium leontoglossum,"Medium - AI ID only, unverified"
Field Observations,Maquipucuna,0.119618,-78.632612,1351.0,NA,1,2.9,16.8,182,foto 182,NA,Maxillaria sp. B,NA,NA,NA,Maxillaria sp. B,High - expert-identified photo match
Field Observations,Maquipucuna,0.119523,-78.632763,1352.0,NA,1,4.1,11.6,183,foto 183,NA,Maxillaria acutifolia,NA,NA,2026-03-27T15:50:00Z,Maxillaria acutifolia,"Medium - AI ID only, unverified"
Field Observations,Maquipucuna,0.119339,-78.633345,1357.0,NA,1,3.1,19,185,foto 185,NA,Maxillaria lehmannii,NA,NA,2026-03-27T16:01:00Z,Maxillaria lehmannii,"Medium - AI ID only, unverified"
Field Observations,Maquipucuna,0.119285,-78.633394,1359.0,NA,1,2,19,NA,NA,NA,Dichaea sp.,NA,NA,2026-03-27T16:06:00Z,Dichaea sp.,"Medium - AI ID only, unverified (shared location)"
Field Observations,Mashpi,0.165894,-78.878003,926.0,NA,1,5.9,15,246,foto 246,NA,Maxillaria discolor,NA,NA,2026-03-28T12:55:00Z,Maxillaria discolor,"Medium - AI ID only, unverified"
Field Observations,Mashpi,0.165851,-78.878046,923.0,NA,1,6.3,15,NA,NA,NA,Maxillaria sp.,Maxillaria,NA,2026-03-28T13:01:00Z,Maxillaria sp.,High - expert-identified photo match (shared location)
Field Observations,Mashpi,0.165748,-78.878092,923.0,NA,1,15.3,22,253,foto 253,NA,Maxillaria sp.,Maxillaria,NA,NA,Maxillaria sp.,High - expert-identified photo match
Field Observations,Mashpi,0.165748,-78.878092,923.0,NA,1,15.4,22,254,foto 254,NA,Maxillaria sp.,Maxillaria,NA,NA,Maxillaria sp.,High - expert-identified photo match
Field Observations,Mashpi,0.165748,-78.878092,923.0,NA,1,16.3,22,255,foto 255,NA,Maxillaria acutifolia,Maxillaria,NA,NA,Maxillaria acutifolia,"Medium - AI ID only, unverified"
Field Observations,Mashpi,0.165748,-78.878092,923.0,NA,1,13.5,22,256,foto 256,NA,Maxillaria acutifolia,Maxillaria,NA,NA,Maxillaria acutifolia,"Medium - AI ID only, unverified"
Field Observations,Mashpi,0.166076,-78.877816,927.0,NA,1,6.3,20.5,265,foto 265,NA,Maxillaria amplifoliata,NA,NA,2026-03-28T13:46:00Z,Maxillaria amplifoliata,"Medium - AI ID only, unverified"
Field Observations,Mashpi,0.166183,-78.877786,928.0,NA,1,11.9,17.6,274,foto 274,NA,Stelis sp.,NA,NA,2026-03-28T14:01:00Z,Stelis sp.,"Medium - AI ID only, unverified"
Field Observations,Mashpi,0.166178,-78.877737,925.0,NA,1,8.4,16.4,277,foto 277,NA,Scaphyglottis sp.,NA,NA,2026-03-28T14:08:00Z,Scaphyglottis sp.,"Medium - AI ID only, unverified"
Field Observations,Mashpi,0.166529,-78.877121,950.0,NA,1,9.1,14.6,283-285,foto 283-285,NA,Maxillaria sp. A,Maxillaria,NA,2026-03-28T14:18:00Z,Maxillaria sp. A,High - expert-identified photo match
Field Observations,Mashpi,0.166384,-78.875797,985.0,NA,1,17,NA,295-297,foto 295-297,NA,Maxillaria sp. C,NA,NA,2026-03-28T14:36:00Z,Maxillaria sp. C,High - expert-identified photo match
Field Observations,Mashpi,0.166358,-78.873477,1001.0,NA,1,4.1,19,302-308,foto 302-308,NA,Maxillaria chartacifolia,NA,NA,2026-03-28T14:59:00Z,Maxillaria chartacifolia,"Medium - AI ID only, unverified"
Field Observations,Mashpi,0.165662,-78.87324,999.0,NA,1,15.9,NA,311,foto 311,NA,Maxillaria sp. D,NA,NA,2026-03-28T15:08:00Z,Maxillaria sp. D,High - expert-identified photo match
Field Observations,Mashpi,0.165772,-78.872923,1004.0,NA,1,14.7,17.8,317,foto 317,NA,Epidendrum sp.,NA,NA,2026-03-28T15:13:00Z,Epidendrum sp.,"Medium - AI ID only, unverified"
Field Observations,Mashpi,0.165832,-78.872708,1007.0,NA,1,17.2,NA,318-322,foto 318-322,NA,Maxillaria nasuta,NA,NA,2026-03-28T15:18:00Z,Maxillaria nasuta,"Medium - AI ID only, unverified"
Field Observations,Mashpi,0.166488,-78.880055,912.0,NA,1,8.8,20.7,352,foto 352,NA,Maxillaria bradei,NA,NA,2026-03-29T08:07:00Z,Maxillaria bradei,High - expert-identified photo match
Field Observations,Mashpi,0.166537,-78.880079,915.0,NA,1,8.9,10.6,356,foto 356,NA,Maxillaria sp. B,NA,NA,2026-03-29T08:10:00Z,Maxillaria sp. B,High - expert-identified photo match
Field Observations,Mashpi,0.166537,-78.880079,915.0,NA,1,8.4,10.6,357,foto 357,NA,Maxillaria sp. C,NA,NA,2026-03-29T08:10:00Z,Maxillaria sp. C,High - expert-identified photo match
Field Observations,Mashpi,0.166537,-78.880079,915.0,NA,1,9.5,10.6,358-359,foto 358-359,NA,Maxillaria sp.,NA,NA,2026-03-29T08:10:00Z,Maxillaria sp.,High - expert-identified photo match
Field Observations,Mashpi,0.166533,-78.880165,913.0,NA,1,8.5,15.2,360-361,foto 360-361,NA,Maxillaria sp. B,NA,NA,2026-03-29T08:14:00Z,Maxillaria sp. B,High - expert-identified photo match
Field Observations,Mashpi,0.166566,-78.880359,915.0,NA,2,12.8,19.9,362-368,foto 362-368,NA,Maxillaria bradei,NA,NA,2026-03-29T08:22:00Z,Maxillaria bradei,High - expert-identified photo match
Field Observations,Mashpi,0.166614,-78.880531,917.0,NA,1,16.2,25.4,369-370,foto 369-370,NA,Maxillaria acutifolia,NA,NA,2026-03-29T08:26:00Z,Maxillaria acutifolia,"Medium - AI ID only, unverified"
Field Observations,Mashpi,0.166598,-78.880563,915.0,NA,1,11.4,23.6,371-372,foto 371-372,NA,Maxillaria williamsii,NA,NA,2026-03-29T08:29:00Z,Maxillaria williamsii,"Medium - AI ID only, unverified"
Field Observations,Mashpi,0.166617,-78.88068,917.0,NA,1,4.3,27.6,374-375,foto 374-375,NA,Maxillaria acutifolia,NA,NA,2026-03-29T08:33:00Z,Maxillaria acutifolia,"Medium - AI ID only, unverified"
Field Observations,Mashpi,0.166677,-78.880999,915.0,NA,1,12.2,20,379-380,foto 379-380,NA,Elleanthus sp.,NA,NA,2026-03-29T08:42:00Z,Elleanthus sp.,"Medium - AI ID only, unverified"
Field Observations,Mashpi,0.166677,-78.880999,915.0,NA,1,14.1,20,381,foto 381,NA,Maxillaria sp.,NA,NA,2026-03-29T08:42:00Z,Maxillaria sp.,High - expert-identified photo match
Field Observations,Mashpi,0.166808,-78.881098,919.0,NA,1,7.6,17.8,389,foto 389,NA,Maxillaria sp. B,NA,NA,2026-03-29T08:50:00Z,Maxillaria sp. B,High - expert-identified photo match
Field Observations,Mashpi,0.166808,-78.881098,919.0,NA,1,9.1,17.8,386-388,foto 386-388,NA,Maxillaria sp. A,NA,NA,2026-03-29T08:50:00Z,Maxillaria sp. A,High - expert-identified photo match
Field Observations,Mashpi,0.166875,-78.881275,922.0,NA,1,7.1,21.2,390-391,foto 390-391,NA,Maxillaria sp. A,NA,NA,2026-03-29T08:58:00Z,Maxillaria sp. A,High - expert-identified photo match
Field Observations,Mashpi,0.166875,-78.881275,922.0,NA,1,6.3,21.2,392,foto 392,NA,Maxillaria amplifoliata,NA,NA,2026-03-29T08:58:00Z,Maxillaria amplifoliata,"Medium - AI ID only, unverified"
Field Observations,Mashpi,0.166875,-78.881275,922.0,NA,1,5,21.2,393,foto 393,NA,Maxillaria bradei,NA,NA,2026-03-29T08:58:00Z,Maxillaria bradei,High - expert-identified photo match
Field Observations,Mashpi,0.16683,-78.881349,921.0,NA,1,13.6,21.6,397,foto 397,NA,Maxillaria sp. A,NA,NA,2026-03-29T09:05:00Z,Maxillaria sp. A,High - expert-identified photo match
Field Observations,Mashpi,0.166858,-78.881461,921.0,NA,1,7.4,16.1,400,foto 400,NA,Maxillaria sp. C,NA,NA,2026-03-29T09:10:00Z,Maxillaria sp. C,High - expert-identified photo match
Field Observations,MindoMirador,-0.020174,-78.761905,1707.0,NA,1,6,NA,NA,NA,NA,Maxillaria lehmannii,Maxillaria,NA,2026-03-24T10:55:00Z,Maxillaria lehmannii,"Medium - AI ID only, unverified (shared location)"
Field Observations,MindoMirador,-0.020122,-78.762915,1703.0,NA,1,2.4,NA,NA,NA,NA,Maxillaria ramosa,Maxillaria,NA,2026-03-24T11:17:00Z,Maxillaria ramosa,"Medium - AI ID only, unverified (shared location)"
Field Observations,MindoMirador,-0.020413,-78.763031,1702.0,NA,1,2.9,NA,NA,NA,NA,Maxillaria acutifolia,Maxillaria,NA,2026-03-24T11:20:00Z,Maxillaria acutifolia,"Medium - AI ID only, unverified (shared location)"
Field Observations,MindoTarabita,-0.079564,-78.760783,NA,NA,1,2.4,21,NA,pleurothallis at 2.4 m height.,NA,Maxillaria sp.,pleurothallis,NA,2026-03-06T09:57:00Z,Maxillaria sp.,High - expert-identified photo match (shared location)
Field Observations,MindoTarabita,-0.082197,-78.762286,NA,NA,1,5,NA,NA,NA,NA,Maxillaria sp.,maxillaria,NA,2026-03-06T12:47:00Z,Maxillaria sp.,High - expert-identified photo match (shared location)
Field Observations,MindoTarabita,-0.082197,-78.762286,NA,NA,1,10,NA,NA,NA,NA,Maxillaria sp.,maxillaria,NA,2026-03-06T12:47:00Z,Maxillaria sp.,High - expert-identified photo match (shared location)
Field Observations,MindoTarabita,-0.082197,-78.762286,NA,NA,1,23,NA,NA,NA,NA,Maxillaria sp.,maxillaria,NA,2026-03-06T12:47:00Z,Maxillaria sp.,High - expert-identified photo match (shared location)
Field Observations,MindoTarabita,-0.082243,-78.762291,NA,NA,1,4,NA,NA,NA,NA,Maxillaria sp2,maxillaria sp2,NA,NA,Maxillaria sp2,High - expert-identified photo match (shared location)
Field Observations,MindoTarabita,-0.082243,-78.762291,NA,NA,1,6.5,NA,NA,NA,NA,Maxillaria sp2,maxillaria sp2,NA,NA,Maxillaria sp2,High - expert-identified photo match (shared location)
Field Observations,MindoTarabita,-0.085922,-78.76185,NA,NA,1,3.9,NA,NA,NA,NA,Maxillaria sp.,maxillaria,NA,2026-03-06T14:04:00Z,Maxillaria sp.,High - expert-identified photo match (shared location)
Field Observations,MindoTarabita,-0.085922,-78.76185,NA,NA,1,4.6,NA,NA,NA,NA,Maxillaria sp.,maxillaria,NA,2026-03-06T14:04:00Z,Maxillaria sp.,High - expert-identified photo match (shared location)
Field Observations,Saloya,0.008553,-78.824713,1276.0,NA,1,4,NA,NA,NA,NA,Maxillaria pardalina,Maxillaria,NA,2026-03-24T16:11:00Z,Maxillaria pardalina,"Medium - AI ID only, unverified (shared location)"
Field Observations,Saloya,0.008641,-78.824511,1283.0,NA,1,7.6,NA,NA,NA,NA,Maxillaria acutifolia,Maxillaria,NA,2026-03-24T16:15:00Z,Maxillaria acutifolia,"Medium - AI ID only, unverified (shared location)"
Field Observations,Saloya,0.008934,-78.824791,1289.0,NA,1,6.5,NA,NA,NA,NA,Maxillaria acutifolia,Maxillaria,NA,2026-03-24T16:24:00Z,Maxillaria acutifolia,High - expert-identified photo match (shared location)
Field Observations,Saloya,0.009832,-78.824755,1327.0,NA,1,3.3,NA,NA,NA,NA,Maxillaria sp.,Maxillaria,NA,2026-03-24T16:38:00Z,Maxillaria sp.,"Medium - AI ID only, unverified (shared location)"
Field Observations,Saloya,0.009929,-78.824688,1337.0,NA,1,2.8,NA,NA,NA,NA,Maxillaria ecuadorensis,Maxillaria,NA,2026-03-24T16:43:00Z,Maxillaria ecuadorensis,High - expert-identified photo match (shared location)
Field Observations,Yanayacu,-0.5970698,-77.894573,NA,NA,1,3,NA,NA,NA,NA,Ida sp.,Ida,NA,2026-02-18T16:12:00Z,Ida sp.,High - expert-identified photo match (shared location)
Field Observations,Yanayacu,-0.5958342,-77.894057,NA,NA,1,2,NA,NA,NA,NA,Ida sp.,Ida,NA,2026-02-19T10:07:00Z,Ida sp.,High - expert-identified photo match (shared location)
Field Observations,Yanayacu,-0.5958342,-77.894057,NA,NA,1,30,NA,NA,NA,NA,Ida sp.,Ida,NA,2026-02-19T10:07:00Z,Ida sp.,High - expert-identified photo match (shared location)
Field Observations,Yanayacu,-0.5958342,-77.894057,NA,NA,1,15,NA,NA,NA,NA,Ida sp.,Ida,NA,2026-02-19T10:07:00Z,Ida sp.,High - expert-identified photo match (shared location)
Field Observations,Yanayacu,-0.5958342,-77.894057,NA,NA,1,2,NA,NA,NA,NA,Ida sp.,Ida,NA,2026-02-19T10:07:00Z,Ida sp.,High - expert-identified photo match (shared location)
Field Observations,Yanayacu,-0.5958342,-77.894057,NA,NA,1,3,NA,NA,NA,NA,Ida sp.,Ida,NA,2026-02-19T10:07:00Z,Ida sp.,High - expert-identified photo match (shared location)
Field Observations,Yanayacu,-0.5919292,-77.890811,NA,NA,1,1,NA,NA,NA,NA,Ida sp.,"Ida,",NA,2026-02-19T11:24:00Z,Ida sp.,High - expert-identified photo match (shared location)
Field Observations,Yanayacu,-0.5919292,-77.890811,NA,NA,1,2,NA,NA,NA,NA,Ida sp.,"Ida,",NA,2026-02-19T11:24:00Z,Ida sp.,High - expert-identified photo match (shared location)
Field Observations,Yanayacu,-0.5919292,-77.890811,NA,NA,1,6,NA,NA,NA,NA,Ida sp.,"Ida,",NA,2026-02-19T11:24:00Z,Ida sp.,High - expert-identified photo match (shared location)
Field Observations,Yanayacu,-0.5919292,-77.890811,NA,NA,1,22,NA,NA,NA,NA,Ida sp.,"Ida,",NA,2026-02-19T11:24:00Z,Ida sp.,High - expert-identified photo match (shared location)
Field Observations,Yanayacu,-0.5986211,-77.894486,NA,NA,1,5,NA,NA,NA,NA,Ida sp.,Ida,NA,2026-02-19T21:10:00Z,Ida sp.,High - expert-identified photo match (shared location)
